,IIT_RR
0,0.1675
1,0.13
2,0.095
3,0.075
4,0.0575
5,0.0525
6,0.055
7,0.0525
8,0.05
9,0.0475
10,0.045
11,0.04
12,0.0375
13,0.0325
14,0.03
15,0.0275
16,0.0225
17,0.0174999999999999
18,0.015
19,0.01
20,0.01
21,0.0075
22,0.005
23,0.005
24,0.005
25,0.005
26,0.0025
27,0.0025
28,0.0025
29,0.0025
30,0.0025
31,0.0025
32,0.0025
33,0.0025
34,0.0025
35,0.0025
36,0.005
37,0.005
38,0.005
39,0.005
40,0.0075
41,0.0075
42,0.01
43,0.0125
44,0.0174999999999999
45,0.0225
46,0.0275
47,0.0325
48,0.0375
49,0.0425
50,0.0475
51,0.0525
52,0.06
53,0.0625
54,0.0675
55,0.0675
56,0.07
57,0.0675
58,0.065
59,0.0625
60,0.0575
61,0.0525
62,0.05
63,0.045
64,0.04
65,0.035
66,0.0325
67,0.0275
68,0.0249999999999999
69,0.02
70,0.015
71,0.0125
72,0.01
73,0.0075
74,0.0075
75,0.005
76,0.005
77,0.005
78,0.0025
79,0.0025
80,0.0025
81,0.0025
82,0.0025
83,0.0025
84,0.0025
85,0.0025
86,0.0025
87,0.0025
88,0.005
89,0.005
90,0.005
91,0.005
92,0.0075
93,0.0075
94,0.01
95,0.0125
96,0.0174999999999999
97,0.0225
98,0.0275
99,0.03
100,0.035
101,0.04
102,0.0475
103,0.0525
