,LV_RR
0,0.195
1,0.19
2,0.185
3,0.1775
4,0.1675
5,0.1625
6,0.155
7,0.1475
8,0.14
9,0.13
10,0.1225
11,0.115
12,0.11
13,0.1025
14,0.0975
15,0.0925
16,0.0875
17,0.085
18,0.08
19,0.0775
20,0.075
21,0.0725
22,0.0725
23,0.07
24,0.07
25,0.07
26,0.0675
27,0.07
28,0.07
29,0.07
30,0.0725
31,0.0725
32,0.075
33,0.0775
34,0.08
35,0.085
36,0.0875
37,0.0925
38,0.0975
39,0.1025
40,0.1075
41,0.115
42,0.1225
43,0.1325
44,0.14
45,0.15
46,0.16
47,0.17
48,0.1775
49,0.185
50,0.1925
51,0.1975
52,0.1975
53,0.195
54,0.1925
55,0.1875
56,0.18
57,0.1725
58,0.1625
59,0.1525
60,0.145
61,0.135
62,0.1275
63,0.12
64,0.1125
65,0.105
66,0.1
67,0.095
68,0.09
69,0.085
70,0.0825
71,0.0775
72,0.0775
73,0.075
74,0.0725
75,0.07
76,0.07
77,0.07
78,0.07
79,0.07
80,0.07
81,0.07
82,0.0725
83,0.0725
84,0.075
85,0.0775
86,0.08
87,0.0825
88,0.0875
89,0.0925
90,0.095
91,0.1025
92,0.1075
93,0.115
94,0.1225
95,0.13
96,0.14
97,0.15
98,0.1575
99,0.1675
100,0.1775
101,0.185
102,0.1925
103,0.195
